id,x,y
7,491,446
7,490,448
7,490,452
7,488,455
7,488,461
7,486,463
7,486,469
7,484,472
7,484,477
7,482,479
7,482,485
7,480,488
7,480,492
7,478,494
7,478,499
7,476,501
7,476,505
7,474,508
7,474,513
7,472,515
7,472,519
7,470,522
7,470,525
7,468,528
7,468,532
7,466,534
7,466,538
7,464,541
7,464,545
7,462,547
7,462,551
7,460,553
7,460,558
7,458,560
7,458,564
7,456,566
7,456,569
7,454,572
7,454,576
7,452,579
7,452,582
7,450,585
7,450,588
7,448,591
7,448,595
7,446,597
7,446,600
7,444,603
7,444,607
7,442,609
7,442,613
7,440,615
7,440,619
7,438,622
7,438,625
7,436,627
7,436,632
7,434,634
7,434,638
7,432,640
7,432,644
7,430,646
7,430,650
7,428,652
7,428,657
7,426,659
7,426,663
7,424,665
7,424,669
7,422,671
7,422,676
7,422,671
7,424,669
7,424,665
7,426,663
7,426,659
7,428,657
7,428,652
7,430,650
7,430,646
7,432,644
7,432,640
7,434,639
7,434,634
7,436,632
7,436,627
7,438,626
7,438,622
7,440,619
7,440,615
7,442,614
7,442,609
7,444,608
7,444,603
7,446,600
7,446,597
7,448,595
7,448,591
7,450,588
7,450,585
7,452,583
7,452,579
7,454,577
7,454,572
7,456,570
7,456,566
7,458,564
7,458,560
7,460,558
7,460,553
7,462,551
7,462,547
7,464,545
7,464,541
7,466,539
7,466,534
7,468,533
7,468,528
7,470,526
7,470,522
7,472,520
7,472,515
7,474,513
7,474,508
7,476,506
7,476,501
7,478,499
7,478,494
7,480,492
7,480,488
7,482,485
7,482,479
7,484,477
7,484,472
7,486,470
7,486,464
7,488,462
7,488,455
7,490,453
7,490,448
8,498,446
8,498,456
8,497,457
8,497,472
8,496,473
8,496,490
8,495,491
8,495,515
8,494,516
8,494,528
8,493,529
8,493,542
8,492,543
8,492,553
8,491,554
8,491,564
8,490,565
8,490,584
8,489,585
8,489,593
8,488,594
8,488,607
8,487,608
8,487,617
8,486,618
8,486,628
8,485,629
8,485,645
8,484,646
8,484,654
8,483,655
8,483,666
8,482,667
8,482,676
8,482,667
8,483,666
8,483,655
8,484,654
8,484,646
8,485,645
8,485,629
8,486,628
8,486,618
8,487,617
8,487,608
8,488,607
8,488,594
8,489,593
8,489,585
8,490,584
8,490,565
8,491,564
8,491,554
8,492,553
8,492,543
8,493,542
8,493,529
8,494,528
8,494,516
8,495,515
8,495,491
8,496,490
8,496,473
8,497,472
8,497,457
8,498,456
9,502,446
9,502,454
9,503,455
9,503,468
9,504,469
9,504,492
9,505,493
9,505,504
9,506,505
9,506,518
9,507,519
9,507,531
9,508,532
9,508,548
9,509,549
9,509,562
9,510,563
9,510,596
9,511,597
9,511,614
9,512,615
9,512,635
9,513,636
9,513,654
9,514,655
9,514,676
9,514,655
9,513,654
9,513,636
9,512,635
