0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,,,,,6,Suriname,Suriname,,15,740,,-,1,563,  ,,,Preliminar,2018
0,,,,,2,Belize,Belice,,15,84,,-,1,367,  ,,,Preliminar,2016
0,,,,,6,Curaçao,Curazao,,15,531,,-,1,150,  ,,,Preliminar,2018
0,,,,,6,Haiti,Haití,,15,332,,-,1,10604,  ,,,Preliminar,2015
0,,,,,6,Bahamas,Bahamas,,15,44,,-,1,395,  ,,,Preliminar,2018
0,,,,,6,Curaçao,Curazao,,15,531,,-,1,150,  ,,,Preliminar,2017
0,,,,,6,Guadeloupe,Guadalupe,,15,312,,-,1,450,  ,,,Preliminar,2018
0,,,,,6,Montserrat,Montserrat,,15,500,,-,1,5,  ,,,Preliminar,2018
0,,,,,3,Bolivia,Bolivia,,15,68,,-,1,11052,  ,,,Preliminar,2018
0,,,,,6,"Bonaire, Saint Eustatius and Saba","Bonaire, San Eustaquio y Saba",,15,535,,-,1,26,  ,,,Preliminar,2018
0,,,,,6,Saint Lucia,Santa Lucía,,15,662,,-,1,165,  ,,,Preliminar,2018
0,,,,,4,Brazil,Brasil,,15,76,,-,1,209288,  ,,,Preliminar,2018
0,,,,,6,Dominica,Dominica,,15,212,,-,1,74,  ,,,Preliminar,2018
0,,,,,6,Suriname,Suriname,,15,740,,-,1,548,  ,,,Preliminar,2016
0,,,,,5,Cuba,Cuba,,15,192,,-,1,11485,  ,,,Preliminar,2017
0,,,,,6,Jamaica,Jamaica,,15,388,,-,1,2890,  ,,,Preliminar,2018
0,,,,,6,Saint Kitts and Nevis,Saint Kitts y Nevis,,15,659,,-,1,53,  ,,,Preliminar,2017
0,,,,,6,Anguilla,Anguila,,15,660,,-,1,17,  ,,,Preliminar,2018
0,,,,,6,French Guiana,Guayana Francesa,,15,254,,-,1,283,  ,,,Preliminar,2018
0,42.85,10.05,0.038387716,0.000,6,Non-Latin Caribbean,Caribe No Latino,0,15,,611,-,1,6079,  ,1,2605,Preliminar,2016
0,13.22,0.20,0.844772967,0.845,5,Latin Caribbean,Caribe Latino,16,15,,29,-,1,14332,  ,16,1894,Preliminar,2015
0,316.56,52.26,0.027360395,0.017,4,Southern Cone,Cono Sur,153,15,,147234,-,1,281716,  ,244,891800,Preliminar,2016
0,0.00,0.00,,,6,Non-Latin Caribbean,Caribe No Latino,0,15,,0,-,1,102,  ,0,0,Preliminar,2018
0,1.90,0.05,0.313043478,0.000,2,Central America Ithsmus and Mexico,Istmo Centroamericano y México,0,15,,81,-,1,151024,  ,9,2875,Preliminar,2018
0,0.24,0.00,11.764705882,0.000,5,Latin Caribbean,Caribe Latino,0,15,,0,-,1,14430,  ,4,34,Preliminar,2018
