"X0","Incidence_Rate","Lab_Confirm_Incidence_rate","X_SD_D_x100","CFR","ID","Country_or_Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological_Week","Number_of_Records","Population_x_1000","Serotype","Severe_Dengue","Total_of_Dengue_Cases","Type","Year","Week_Cases_Dengue","Week_Range"
0,"170.55","90.86",0,0.015,4,"Argentina","Argentina",11,24,32,39841,24,1,43847,"DEN 1,4",0,74782,"Final",2016,414,"23-24"
0,"171.48","91.39",0,0.015,4,"Argentina","Argentina",11,25,32,40072,25,1,43847,"DEN 1,4",0,75189,"Final",2016,407,"24-25"
0,"172.66","91.88",0,0.015,4,"Argentina","Argentina",11,26,32,40287,26,1,43847,"DEN 1,4",0,75705,"Final",2016,516,"25-26"
0,"173.57","92.29",0,0.014,4,"Argentina","Argentina",11,27,32,40466,27,1,43847,"DEN 1,4",0,76104,"Final",2016,399,"26-27"
0,"173.95","92.71",0,0.014,4,"Argentina","Argentina",11,28,32,40649,28,1,43847,"DEN 1,4",0,76272,"Final",2016,168,"27-28"
0,"174.32","93.28",0,0.014,4,"Argentina","Argentina",11,29,32,40902,29,1,43847,"DEN 1,4",0,76435,"Final",2016,163,"28-29"
0,"175.16","93.98",0,0.014,4,"Argentina","Argentina",11,30,32,41207,30,1,43847,"DEN 1,4",0,76803,"Final",2016,368,"29-30"
0,"175.31","93.98",0,0.014,4,"Argentina","Argentina",11,33,32,41207,33,1,43847,"DEN 1,4",0,76867,"Final",2016,64,"30-33"
0,"175.38","93.98",0,0.014,4,"Argentina","Argentina",11,34,32,41207,34,1,43847,"DEN 1,4",0,76898,"Final",2016,31,"33-34"
0,"175.50","93.98",0,0.014,4,"Argentina","Argentina",11,35,32,41208,35,1,43847,"DEN 1,4",0,76952,"Final",2016,54,"34-35"
0,"175.52","93.98",0,0.014,4,"Argentina","Argentina",11,36,32,41208,36,1,43847,"DEN 1,4",0,76962,"Final",2016,10,"35-36"
0,"175.62","93.98",0,0.013,4,"Argentina","Argentina",10,38,32,41207,38,1,43847,"DEN 1,4",0,77002,"Final",2016,40,"36-38"
0,"176.21","93.98",0,0.013,4,"Argentina","Argentina",10,40,32,41208,40,1,43847,"DEN 1,4",0,77261,"Final",2016,259,"38-40"
0,"176.42","93.98",0,0.013,4,"Argentina","Argentina",10,41,32,41208,41,1,43847,"DEN 1,4",0,77355,"Final",2016,94,"40-41"
0,"176.54","93.98",0,0.013,4,"Argentina","Argentina",10,42,32,41208,42,1,43847,"DEN 1,4",0,77407,"Final",2016,52,"41-42"
0,"176.98","93.98",0,0.013,4,"Argentina","Argentina",10,44,32,41209,44,1,43847,"DEN 1,4",0,77601,"Final",2016,194,"42-44"
0,"178.45","93.99",0,0.013,4,"Argentina","Argentina",10,49,32,41210,49,1,43847,"DEN 1,4",0,78245,"Final",2016,644,"44-49"
0,"180.71","93.99",0,0.013,4,"Argentina","Argentina",10,51,32,41210,51,1,43847,"DEN 1,4",0,79235,"Final",2016,990,"49-51"
0,"181.21","93.99",0,0.013,4,"Argentina","Argentina",10,52,32,41211,52,1,43847,"DEN 1,4",0,79455,"Final",2016,220,"51-52"
0,"0.01","0",0,0,4,"Argentina","Argentina",0,1,32,0,1,1,44271,"DEN 1,3",0,3,"Preliminar",2017,3,"0-1"
0,"0.01","0",0,0,4,"Argentina","Argentina",0,2,32,0,2,1,44271,"DEN 1,3",0,3,"Preliminar",2017,0,"1-2"
0,"0.02","0",0,0,4,"Argentina","Argentina",0,3,32,1,3,1,44271,"DEN 1,3",0,8,"Preliminar",2017,5,"2-3"
0,"0.03","0",0,0,4,"Argentina","Argentina",0,4,32,1,4,1,44271,"DEN 1,3",0,12,"Preliminar",2017,4,"3-4"
0,"0.07","0.02",0,0,4,"Argentina","Argentina",0,5,32,8,5,1,44271,"DEN 1,3",0,30,"Preliminar",2017,18,"4-5"
0,"0.08","0.02",0,0,4,"Argentina","Argentina",0,6,32,11,6,1,44271,"DEN 1,3",0,37,"Preliminar",2017,7,"5-6"
0,"0.1","0.02",0,0,4,"Argentina","Argentina",0,7,32,11,7,1,44271,"DEN 1,3",0,46,"Preliminar",2017,9,"6-7"
0,"0.12","0.02",0,0,4,"Argentina","Argentina",0,8,32,10,8,1,44271,"DEN 1,3",0,52,"Preliminar",2017,6,"7-8"
