"year","including.up.to.week.start","including.up.to.week.end","month","province","cases","total.cases","total.deaths","rate.per.100000","fatality.rate","population"
"2007",2007-12-23,2007-12-29,"April","Nakhon Phanom","35","398","0","57.24","0.00",695351
"2007",2007-12-23,2007-12-29,"April","Mukdahan","23","318","0","94.80","0.00",335447
"2007",2007-12-23,2007-12-29,"April","Kalasin","67","1422","1","145.76","0.07",975562
"2007",2007-12-23,2007-12-29,"April","Udon Thani","18","631","1","41.31","0.16",1527562
"2007",2007-12-23,2007-12-29,"April","Nong Khai","8","435","3","48.36","0.69",899580
"2007",2007-12-23,2007-12-29,"April","Nong Bua Lam Phu","0","111","1","22.35","0.90",496692
"2007",2007-12-23,2007-12-29,"April","Nonthaburi","74","2179","1","218.11","0.05",999057
"2007",2007-12-23,2007-12-29,"April","Trat","21","199","1","90.48","0.50",219949
"2007",2007-12-23,2007-12-29,"April","Rayong","23","1278","3","222.73","0.23",573785
"2007",2007-12-23,2007-12-29,"April","Chonburi","8","184","2","15.22","1.09",1209290
"2007",2007-12-23,2007-12-29,"April","Chanthaburi","70","1033","0","205.62","0.00",502389
"2007",2007-12-23,2007-12-29,"April","Nan","6","81","0","16.96","0.00",477662
"2007",2007-12-23,2007-12-29,"April","Chiang Rai","3","819","2","66.82","0.24",1225713
"2007",2007-12-23,2007-12-29,"April","Samut Prakan","75","2591","2","233.92","0.08",1107626
"2007",2007-12-23,2007-12-29,"April","Sa Kaeo","58","479","0","88.98","0.00",538344
"2007",2007-12-23,2007-12-29,"April","Prachinburi","38","738","0","162.62","0.00",453819
"2007",2007-12-23,2007-12-29,"April","Nakhon Nayok","12","395","0","158.00","0.00",250003
"2007",2007-12-23,2007-12-29,"April","Chachoengsao","20","782","5","119.53","0.64",654206
"2007",2007-12-23,2007-12-29,"April","Samut Songkhram","14","382","0","195.91","0.00",194990
"2007",2007-12-23,2007-12-29,"April","Samut Sakhon","41","783","2","169.29","0.26",462510
"2007",2007-12-23,2007-12-29,"April","Prachuap Khiri Khan","16","692","3","139.96","0.43",494416
"2007",2007-12-23,2007-12-29,"April","Phetchaburi","9","383","0","83.87","0.00",456681
"2007",2007-12-23,2007-12-29,"April","Ratchaburi","18","1155","1","139.34","0.09",828930
"2007",2007-12-23,2007-12-29,"April","Nakhon Pathom","23","1235","1","150.26","0.08",821905
"2007",2007-12-23,2007-12-29,"April","Kanchanaburi","21","868","3","104.02","0.35",834447
"2007",2007-12-23,2007-12-29,"April","Sing Buri","1","52","0","23.97","0.00",216969
"2007",2007-12-23,2007-12-29,"April","Saraburi","11","415","1","68.05","0.24",609855
"2007",2007-12-23,2007-12-29,"April","Lopburi","12","523","0","69.48","0.00",752775
"2007",2007-12-23,2007-12-29,"April","Chai Nat","11","233","0","68.73","0.00",339006
"2007",2007-12-23,2007-12-29,"April","Pathum Thani","17","560","0","65.02","0.00",861338
"2007",2007-12-23,2007-12-29,"April","Ang Thong","6","369","1","129.96","0.27",283943
"2007",2007-12-23,2007-12-29,"April","Bangkok","273","6944","10","121.91","0.14",5695956
"2007",2007-12-23,2007-12-29,"April","Uthai Thani","19","273","0","83.49","0.00",326988
"2007",2007-12-23,2007-12-29,"April","Phichit","22","641","0","114.91","0.00",557832
"2007",2007-12-23,2007-12-29,"April","Nakhon Sawan","32","1453","1","135.04","0.07",1076015
"2007",2007-12-23,2007-12-29,"April","Kamphaeng Phet","41","670","1","91.99","0.15",728320
"2007",2007-12-23,2007-12-29,"April","Uttaradit","16","367","0","78.51","0.00",467482
"2007",2007-12-23,2007-12-29,"April","Tak","17","529","1","100.25","0.19",527677
"2007",2007-12-23,2007-12-29,"April","Sukhothai","18","200","0","32.85","0.00",608820
"2007",2007-12-23,2007-12-29,"April","Phitsanulok","27","622","1","73.65","0.16",844508
"2007",2007-12-23,2007-12-29,"April","Phetchabun","21","796","2","79.42","0.25",1002317
"2007",2007-12-23,2007-12-29,"April","Phrae","16","311","0","66.40","0.00",468373
"2007",2007-12-23,2007-12-29,"April","Phayao","1","50","0","10.28","0.00",486219
"2007",2007-12-23,2007-12-29,"April","Mae Hong Son","0","197","0","77.20","0.00",255174
"2007",2007-12-23,2007-12-29,"April","Lamphun","4","392","0","96.66","0.00",405564
"2007",2007-12-23,2007-12-29,"April","Lampang","15","237","1","30.63","0.42",773790
"2007",2007-12-23,2007-12-29,"April","Chiang Mai","12","656","0","39.56","0.00",1658298
