"location","target","score","forecast_week","team","skill"
"HHS Region 9","2 wk ahead",-1.38217794508223,2,"PSI",0.251031225028875
"HHS Region 9","3 wk ahead",-1.40129402888083,2,"PSI",0.246278066723946
"HHS Region 9","4 wk ahead",-3.11052363824489,2,"PSI",0.044577606687957
"HHS Region 9","Season onset",0,2,"PSI",1
"HHS Region 9","Season peak percentage",-0.65740851155427,2,"PSI",0.518192485791667
"HHS Region 9","Season peak week",-10,2,"PSI",4.53999297624849e-05
"US National","1 wk ahead",-0.041267191828449,2,"PSI",0.959572705706326
"US National","2 wk ahead",-0.05728058218174,2,"PSI",0.944329070280432
"US National","3 wk ahead",-0.921850270783576,2,"PSI",0.397782354690923
"US National","4 wk ahead",-3.61932368472619,2,"PSI",0.026800796152434
"US National","Season onset",0,2,"PSI",1
"US National","Season peak percentage",-3.24022865161219,2,"PSI",0.03915494123493
"US National","Season peak week",-0.064288043631241,2,"PSI",0.937734852073538
"HHS Region 1","1 wk ahead",-0.008325809579429,3,"PSI",0.991708753983417
"HHS Region 1","2 wk ahead",-0.016883685364906,3,"PSI",0.983258045284613
"HHS Region 1","3 wk ahead",-1.26782588740175,3,"PSI",0.281442845539156
"HHS Region 1","4 wk ahead",-0.199072724578265,3,"PSI",0.819490294079757
"HHS Region 1","Season onset",0,3,"PSI",1
"HHS Region 1","Season peak percentage",-0.739790469799375,3,"PSI",0.47721389576955
"HHS Region 1","Season peak week",-0.47690183511513,3,"PSI",0.620703457586331
"HHS Region 10","1 wk ahead",-0.113971372787485,3,"PSI",0.892283499106143
"HHS Region 10","2 wk ahead",-0.504858032724944,3,"PSI",0.603591259551092
"HHS Region 10","3 wk ahead",-1.18784025776131,3,"PSI",0.304879013609678
"HHS Region 10","4 wk ahead",-2.00871090620174,3,"PSI",0.13416151001491
"HHS Region 10","Season onset",0,3,"PSI",1
"HHS Region 10","Season peak percentage",-0.030459207484709,3,"PSI",0.97
"HHS Region 10","Season peak week",-0.061875403718088,3,"PSI",0.94
"HHS Region 2","1 wk ahead",-4.81640901565399,3,"PSI",0.008095806919042
"HHS Region 2","2 wk ahead",-4.31288653968017,3,"PSI",0.013394829031402
"HHS Region 2","3 wk ahead",-4.23576780076929,3,"PSI",0.014468696855313
"HHS Region 2","4 wk ahead",-3.33512224936254,3,"PSI",0.035610232617028
"HHS Region 2","Season onset",0,3,"PSI",1
"HHS Region 2","Season peak percentage",-3.91202300542815,3,"PSI",0.02
"HHS Region 2","Season peak week",-4.60517018598809,3,"PSI",0.01
"HHS Region 3","1 wk ahead",-0.073221517718793,3,"PSI",0.929394929776656
"HHS Region 3","2 wk ahead",-0.111111373584869,3,"PSI",0.894839081942563
"HHS Region 3","3 wk ahead",-3.37688808762972,3,"PSI",0.034153572459057
"HHS Region 3","4 wk ahead",-3.47331497066217,3,"PSI",0.031014049401558
"HHS Region 3","Season onset",0,3,"PSI",1
"HHS Region 3","Season peak percentage",-3.25669877441408,3,"PSI",0.038515336189779
"HHS Region 3","Season peak week",-0.098860152193216,3,"PSI",0.90586938301218
"HHS Region 4","1 wk ahead",-0.054480873791179,3,"PSI",0.946976620757216
"HHS Region 4","2 wk ahead",-0.447577615329858,3,"PSI",0.63917460457727
"HHS Region 4","3 wk ahead",-2.70506438124565,3,"PSI",0.066866018790431
"HHS Region 4","4 wk ahead",-4.10065083096389,3,"PSI",0.016561892900629
"HHS Region 4","Season onset",0,3,"PSI",1
"HHS Region 4","Season peak percentage",-4.01291200579797,3,"PSI",0.018080667493741
"HHS Region 4","Season peak week",-0.026882004279878,3,"PSI",0.973476100761286
"HHS Region 5","1 wk ahead",-0.038713845996708,3,"PSI",0.962025957341766
"HHS Region 5","2 wk ahead",-0.031362589836635,3,"PSI",0.969124114807811
"HHS Region 5","3 wk ahead",-0.874999321931537,3,"PSI",0.416862302339593
"HHS Region 5","4 wk ahead",-3.26635611447758,3,"PSI",0.038145170774112
"HHS Region 5","Season onset",0,3,"PSI",1
"HHS Region 5","Season peak percentage",-3.09631097013505,3,"PSI",0.045215697159844
"HHS Region 5","Season peak week",-0.02682442835203,3,"PSI",0.973532151164586
"HHS Region 6","1 wk ahead",-0.502457265401032,3,"PSI",0.60504208257143
"HHS Region 6","2 wk ahead",-3.72337725348152,3,"PSI",0.024152261642354
"HHS Region 6","3 wk ahead",-4.18787554789168,3,"PSI",0.015178496633935
"HHS Region 6","4 wk ahead",-3.87387338154631,3,"PSI",0.020777733270111
"HHS Region 6","Season onset",0,3,"PSI",1
"HHS Region 6","Season peak percentage",-3.83546398753778,3,"PSI",0.021591318043183
"HHS Region 6","Season peak week",-0.086611130466196,3,"PSI",0.917033632746698
"HHS Region 7","1 wk ahead",-1.74251175316721,3,"PSI",0.175080089902242
"HHS Region 7","2 wk ahead",-2.48456678855179,3,"PSI",0.083361659916299
"HHS Region 7","3 wk ahead",-2.88369177926656,3,"PSI",0.05592790774717
"HHS Region 7","4 wk ahead",-0.164418946655306,3,"PSI",0.848386518722551
"HHS Region 7","Season onset",0,3,"PSI",1
"HHS Region 7","Season peak percentage",-3.38544936547532,3,"PSI",0.033862422322752
"HHS Region 7","Season peak week",-1.91922149833971,3,"PSI",0.146721140331971
"HHS Region 8","1 wk ahead",-0.506664996068808,3,"PSI",0.602501577075046
"HHS Region 8","2 wk ahead",-0.659747003094168,3,"PSI",0.51698211282266
"HHS Region 8","3 wk ahead",-1.42975415588983,3,"PSI",0.239367762165227
"HHS Region 8","4 wk ahead",-0.38649937873162,3,"PSI",0.679431147483593
"HHS Region 8","Season onset",0,3,"PSI",1
"HHS Region 8","Season peak percentage",-0.355420014406869,3,"PSI",0.700879002099793
"HHS Region 8","Season peak week",-0.16691211237722,3,"PSI",0.846273985077644
"HHS Region 9","1 wk ahead",-0.056415406214028,3,"PSI",0.94514643462866
"HHS Region 9","2 wk ahead",-0.063520824766723,3,"PSI",0.938454575999547
"HHS Region 9","3 wk ahead",-0.711348020733341,3,"PSI",0.490981897386769
"HHS Region 9","4 wk ahead",-1.50431354920175,3,"PSI",0.222169750101404
"HHS Region 9","Season onset",0,3,"PSI",1
"HHS Region 9","Season peak percentage",-0.086977989820149,3,"PSI",0.916697272082936
"HHS Region 9","Season peak week",-2.4703671773469,3,"PSI",0.084553807058583
"US National","1 wk ahead",-0.083060553402041,3,"PSI",0.920295418514387
"US National","2 wk ahead",-1.72506427638184,3,"PSI",0.178161599821838
"US National","3 wk ahead",-2.98709038300964,3,"PSI",0.050433966973962
"US National","4 wk ahead",-2.9280311308566,3,"PSI",0.053502273489266
"US National","Season onset",0,3,"PSI",1
"US National","Season peak percentage",-3.31168893892283,3,"PSI",0.036454552218727
"US National","Season peak week",-0.073272225872408,3,"PSI",0.929347803070652
"HHS Region 1","1 wk ahead",-0.019184606970924,4,"PSI",0.980998246410946
"HHS Region 1","2 wk ahead",-1.06828559011504,4,"PSI",0.343597078985319
"HHS Region 1","3 wk ahead",-0.091929105508842,4,"PSI",0.912169815067738
"HHS Region 1","4 wk ahead",-0.060804787431814,4,"PSI",0.941006918224443
"HHS Region 1","Season onset",0,4,"PSI",1
"HHS Region 1","Season peak percentage",-0.229939293197287,4,"PSI",0.794581837562073
"HHS Region 1","Season peak week",-1.76531326606919,4,"PSI",0.171133167872126
"HHS Region 10","1 wk ahead",-1.28097803684035,4,"PSI",0.277765502666151
"HHS Region 10","2 wk ahead",-2.7283842825202,4,"PSI",0.06532475078921
"HHS Region 10","3 wk ahead",-3.38486394397164,4,"PSI",0.033882251916715
"HHS Region 10","4 wk ahead",-3.24854799977417,4,"PSI",0.038830548883962
"HHS Region 10","Season onset",0,4,"PSI",1
"HHS Region 10","Season peak percentage",0,4,"PSI",1
"HHS Region 10","Season peak week",0,4,"PSI",1
