"ÁreaProgramática,Regiões","","População","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICA","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total"
"AdministrativaseBairros","","Censo2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gávea","","16003","0","0","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Vidigal","","12797","1","4","0","0","0","1","1","0","0","0","0","2","0","1","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"SãoConrado","","10980","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"XXVIIRocinha","","69356","3","1","7","7","5","6","5","2","4","0","3","4","2","3","1","0","3","2","2","0","2","1","1","0","0","2","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"Rocinha","","69356","3","1","7","7","5","6","5","2","4","0","3","4","2","3","1","0","3","2","2","0","2","1","1","0","0","2","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"ÁreaProgramática2.2","","371120","6","6","1","6","3","5","5","2","0","1","3","4","1","0","2","1","3","3","2","0","0","0","1","1","0","2","3","0","2","1","0","1","1","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","72"
"VIIITijuca","","181810","1","3","0","2","2","3","1","0","0","1","0","1","1","0","0","0","0","1","2","0","0","0","1","0","0","0","3","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"PraçadaBandeira","","8662","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Tijuca","","163805","1","2","0","2","1","3","1","0","0","1","0","1","1","0","0","0","0","1","2","0","0","0","1","0","0","0","2","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"AltodaBoaVista","","9343","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"IXVilaIsabel","","189310","5","3","1","4","1","2","4","2","0","0","3","3","0","0","2","1","3","2","0","0","0","0","0","1","0","2","0","0","1","1","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","46"
"Maracanã","","25256","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"VilaIsabel","","86018","3","3","0","3","1","2","3","1","0","0","1","2","0","0","2","1","3","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","31"
"Andaraí","","39365","0","0","1","1","0","0","1","1","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Grajaú","","38671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"ÁreaProgramática3.1","","886551","14","29","21","27","34","22","32","11","10","20","26","15","20","19","13","14","8","12","11","7","3","7","7","6","7","1","1","1","0","3","0","1","2","1","1","2","3","4","7","3","2","3","0","0","0","0","0","0","0","0","0","0","430"
"XRamos","","153177","3","5","4","6","7","3","8","1","3","5","5","3","2","2","1","3","2","0","1","1","1","2","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","77"
"Manguinhos","","36160","1","2","1","1","1","0","2","0","0","0","2","1","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","16"
"Bonsucesso","","18711","1","1","0","1","1","0","3","0","0","1","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Ramos","","40792","1","2","1","1","4","1","3","0","2","3","2","1","2","1","0","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","30"
"Olaria","","57514","0","0","2","3","1","2","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
