Área Programática, Regiões Administrativas e Bairros,Pop. Censo 2010,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
Cascadura,34.456,3,9,16,17,11,8,3,1,0,2,5,6,81,
Madureira,50.106,4,5,2,2,0,0,0,2,0,0,0,0,15,
Vaz Lobo,15.167,6,32,34,46,26,9,4,0,2,7,5,15,186,
Turiaçu,17.246,18,47,78,113,61,22,10,8,6,9,16,23,411,
Rocha Miranda,44.188,2,16,39,64,30,22,3,4,3,4,6,13,206,
Honório Gurgel,21.989,6,7,15,19,5,6,1,1,2,1,1,2,66,
Oswaldo Cruz,34.040,9,44,72,95,60,24,7,6,4,4,13,21,359,
Bento Ribeiro,43.707,7,22,45,50,24,13,4,1,0,2,3,3,174,
Marechal Hermes,48.061,2,14,34,42,28,13,5,3,2,4,7,12,166,
XXII Anchieta, 158 318,46,257,504,809,496,156,17,5,9,12,49,123,2.483,
Guadalupe,47.144,8,25,35,60,36,5,2,0,0,8,8,41,228,
Anchieta,55.652,1,2,7,7,6,3,3,0,0,0,1,4,34,
Parque Anchieta,26.212,9,54,228,455,317,111,8,5,5,1,33,41,1.267,
Ricardo de Albuquerque,29.310,28,176,234,287,137,37,4,0,4,3,7,37,954,
XXV Pavuna, 208 813,53,191,222,355,165,53,20,7,12,11,25,45,1.159,
Coelho Neto,32.423,0,15,17,30,15,3,1,0,0,1,0,2,84,
Acari,27.347,4,28,45,80,42,14,6,1,2,0,1,9,232,
Barros Filho,14.049,21,36,51,110,40,15,9,5,8,8,11,22,336,
Costa Barros,28.442,24,78,70,73,32,8,2,1,1,1,13,11,314,
Pavuna,97.350,4,34,39,62,36,13,2,0,1,1,0,1,193,
Parque Columbia, 9 202,0,0,0,0,0,0,0,0,0,0,0,0,0,
Área Programática 4.0,909.368,202,755,1.905,2.848,2.041,661,199,100,100,136,259,277,9.483,
Xvi Jacarepagua,572.030,122,444,1.070,1.459,1.085,379,101,67,54,65,148,167,5.161,
Jacarepaguá,157.326,16,54,57,86,63,29,1,2,4,2,9,12,335,
Anil,24.172,22,78,108,159,125,35,9,4,2,7,14,22,585,
Gardênia Azul,17.715,1,30,118,185,110,34,16,6,8,8,15,27,558,
Curicica,31.189,12,48,63,65,33,13,3,2,2,5,9,8,263,
Freguesia (Jacarepaguá),70.511,4,16,48,82,42,21,7,6,5,3,17,7,258,
Pechincha,34.709,3,21,105,127,89,38,10,5,7,5,15,15,440,
Taquara,102.126,19,55,109,131,99,28,12,6,9,4,14,13,499,
Tanque,37.856,4,22,75,102,69,23,5,7,3,4,14,11,339,
Praça Seca,64.147,38,94,316,421,352,121,31,24,8,14,33,37,1.489,
Vila Valqueire,32.279,3,26,71,101,103,37,7,5,6,13,8,15,395,
XXXIV Cidade De Deus,36.515,14,76,202,301,154,48,29,12,5,13,20,21,895,
Cidade de Deus,36.515,14,76,202,301,154,48,29,12,5,13,20,21,895,
XXIV Barra Da Tijuca,300.823,66,235,633,1.088,802,234,69,21,41,58,91,89,3.427,
Joá,818,11,53,159,448,373,72,9,2,12,11,28,28,1.206,
Itanhangá,38.415,8,41,55,108,99,32,6,2,6,8,11,22,398,
Barra da Tijuca,135.924,0,0,6,1,1,0,0,0,1,0,0,0,9,
Camorim,1.970,5,18,57,78,63,11,8,5,4,9,7,6,271,
Vargem Pequena,27.250,34,105,251,305,139,79,32,7,10,18,28,17,1.025,
Vargem Grande,14.039,2,4,11,10,4,1,2,1,0,2,5,1,43,
Recreio dos Bandeirantes,82.240,4,9,43,64,52,22,5,3,6,5,10,9,232,
Grumari,167,2,5,51,74,71,17,7,1,2,5,2,6,243,
Área Programática 5.1,671.041,73,533,1.346,2.182,1.427,388,70,25,29,70,85,380,6.608,
XXXIII Realengo,243.006,20,113,336,537,418,133,28,6,6,19,40,80,1.736,
Deodoro,10.842,14,73,244,359,260,95,20,4,5,16,31,51,1.172,
Vila Militar,13.184,0,0,0,0,2,1,0,0,0,0,0,0,3,
Campo dos Afonsos,1.365,2,22,40,63,70,17,6,0,1,1,2,6,230,
Jardim Sulacap,13.062,0,0,11,8,9,1,1,0,0,0,0,2,32,
Magalhães Bastos,24.430,0,3,2,2,1,1,0,0,0,0,0,0,9,
Realengo,180.123,4,15,39,105,76,18,1,2,0,2,7,21,290,
XVII Bangu,428.035,53,420,1.010,1.645,1.009,255,42,19,23,51,45,300,4.872,
Padre Miguel,64.228,6,30,80,144,102,33,5,0,0,1,2,35,438,
Bangu,243.125,28,278,679,1.175,682,161,19,9,15,36,33,208,3.323,
Senador Camará,105.515,19,112,251,326,225,61,18,10,8,14,10,57,1.111,
Gericino ,15.167,0,0,0,0,0,0,0,0,0,0,0,0,0,
Área Programática 5.2,665.198,369,1.283,3.993,7.262,5.210,1.341,265,151,203,295,360,638,21.370,
XVIII Campo Grande,542.084,191,733,2.262,3.981,2.697,586,169,88,132,189,182,444,11.654,
Santíssimo,41.458,48,294,752,1.292,888,201,89,42,48,86,69,217,4.026,
Campo Grande,328.370,17,86,374,368,386,65,13,21,33,56,33,90,1.542,
Senador Vasconcelos,30.600,20,57,207,302,150,34,11,4,8,11,16,34,854,
Inhoaíba,64.649,106,284,885,1.983,1.244,279,56,20,40,35,63,91,5.086,
