"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases","Incidence.Per.100000"
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","February","10",297.53
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","March","22",654.57
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","April","27",803.33
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","May","35",1041.36
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","June","9",267.78
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","July","0",0
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","August","0",0
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","September","1",29.75
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","October","3",89.26
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","November","2",59.51
"2011","Planning Area 1.0","XXI Ilha de Paquetá","Paquetá","3361","December","5",148.77
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","January","33",80.63
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","February","119",290.77
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","March","220",537.56
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","April","251",613.3
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","May","111",271.22
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","June","6",14.66
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","July","5",12.22
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","August","6",14.66
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","September","3",7.33
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","October","6",14.66
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","November","13",31.76
"2011","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926","December","21",51.31
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","January","11",13.27
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","February","55",66.35
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","March","188",226.81
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","April","174",209.92
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","May","47",56.7
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","June","20",24.13
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","July","15",18.1
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","August","5",6.03
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","September","6",7.24
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","October","11",13.27
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","November","4",4.83
"2011","Planning Area 2.1","IV Botafogo","Botafogo","82890","December","9",10.86
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","January","4",16.63
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","February","26",108.08
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","March","49",203.68
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","April","30",124.7
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","May","22",91.45
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","June","7",29.1
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","July","4",16.63
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","August","1",4.16
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","September","1",4.16
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","October","2",8.31
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","November","0",0
"2011","Planning Area 2.1","IV Botafogo","Catete","24057","December","3",12.47
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","January","0",0
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","February","15",208.97
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","March","41",571.19
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","April","25",348.29
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","May","4",55.73
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","June","2",27.86
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","July","1",13.93
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","August","0",0
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","September","0",0
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","October","0",0
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","November","2",27.86
"2011","Planning Area 2.1","IV Botafogo","Cosme Velho","7178","December","1",13.93
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","January","9",17.98
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","February","33",65.94
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","March","63",125.89
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","April","72",143.88
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","May","34",67.94
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","June","21",41.96
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","July","6",11.99
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","August","2",4
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","September","1",2
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","October","10",19.98
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","November","4",7.99
"2011","Planning Area 2.1","IV Botafogo","Flamengo","50043","December","8",15.99
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","January","3",31.05
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","February","25",258.77
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","March","48",496.84
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","April","56",579.65
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","May","22",227.72
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","June","6",62.11
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","July","0",0
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","August","1",10.35
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","September","0",0
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","October","2",20.7
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","November","1",10.35
"2011","Planning Area 2.1","IV Botafogo","Glória","9661","December","3",31.05
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","January","4",30.11
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","February","10",75.27
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","March","18",135.49
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","April","20",150.55
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","May","3",22.58
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","June","6",45.16
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","July","1",7.53
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","August","4",30.11
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","September","1",7.53
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","October","0",0
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","November","1",7.53
"2011","Planning Area 2.1","IV Botafogo","Humaitá","13285","December","1",7.53
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","January","6",13.17
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","February","25",54.88
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","March","56",122.93
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","April","52",114.15
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","May","23",50.49
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","June","25",54.88
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","July","2",4.39
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","August","2",4.39
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","September","3",6.59
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","October","0",0
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","November","0",0
"2011","Planning Area 2.1","IV Botafogo","Laranjeiras","45554","December","11",24.15
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","January","0",0
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","February","3",42.49
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","March","7",99.14
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","April","24",339.9
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","May","5",70.81
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","June","2",28.32
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","July","0",0
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","August","1",14.16
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","September","2",28.32
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","October","2",28.32
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","November","1",14.16
"2011","Planning Area 2.1","IV Botafogo","Urca","7061","December","1",14.16
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","January","32",21.86
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","February","137",93.58
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","March","395",269.82
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","April","538",367.51
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","May","199",135.94
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","June","51",34.84
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","July","24",16.39
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","August","6",4.1
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","September","7",4.78
