"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","7","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","8","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","9","8"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","10","5"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","11","26"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","12","63"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","13","196"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","14","170"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","15","89"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","16","53"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","17","28"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","18","3"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","19","3"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","20","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","21","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","22","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","23","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","24","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","25","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","26","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","27","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","28","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","29","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","30","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","31","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","32","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","33","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","34","2"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","35","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","36","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","37","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","38","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","39","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","40","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","41","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","42","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","43","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","44","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","45","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","46","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","47","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","48","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","49","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","50","0"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","51","1"
"2016","Planning Area 1.0","III Rio Comprido","Catumbi","12556","52","3"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","1","3"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","2","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","3","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","4","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","5","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","6","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","7","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","8","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","9","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","10","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","11","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","12","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","13","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","14","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","15","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","16","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","17","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","18","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","19","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","20","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","21","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","22","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","23","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","24","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","25","0"
