"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2015-03-12T03:11Z(-7.0h, +6.2h)","----","37.5","2015-03-10T18:31Z","32.67","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-03-12T18:00Z(-12.0h, +6.0h)","----","60.0","2015-03-11T10:14Z","31.77","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-03-12T10:11Z","----","42.5","---","---","Max Kp Range: 4.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-03-03T23:00Z","----","50.0","2015-03-02T07:15Z","39.75","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-03-04T12:00Z","----","40.0","2015-03-03T07:20Z","28.67","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-03-04T05:30Z","----","45.0","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-03-04T00:00Z","----","50.0","2015-03-01T03:30Z","68.50","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-03-04T00:00Z","----","50.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-11-11T23:00Z","----","----","2015-11-10T05:23Z","41.62","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-11-11T20:00Z(-12.0h, +12.0h)","----","50.0","2015-11-10T10:24Z","33.60","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-11-12T06:00Z(-7.0h, +7.0h)","----","----","2015-11-10T13:42Z","40.30","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-11-11T21:58Z(-7.5h, +5.5h)","----","54.0","2015-11-10T16:49Z","29.15","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-11-11T22:00Z(-6.0h, +6.0h)","----","70.0","2015-11-10T17:15Z","28.75","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-11-11T18:53Z","----","----","2015-11-10T22:49Z","20.07","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-11-11T18:39Z","----","----","2015-11-10T22:52Z","19.78","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-11-12T02:00Z","----","----","2015-11-12T14:09Z","-12.15","----","Other (ips.gov.au) ","Leila Mays (GSFC)"," Detail"
"2015-11-11T22:33Z","----","58.0","---","---","Max Kp Range: 3.33333 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-02-12T12:00Z(-9.0h, +12.0h)","----","30.0","2015-02-11T08:30Z","27.50","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-02-12T12:00Z","----","30.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-01-15T08:00Z","----","----","2015-01-12T21:06Z","58.90","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-01-14T20:27Z(-7.0h, +7.8h)","----","75.0","2015-01-13T05:08Z","39.32","Max Kp Range: 5.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-01-14T19:00Z","----","----","2015-01-13T09:45Z","33.25","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-01-15T15:00Z","----","----","2015-01-13T12:30Z","50.50","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-01-15T02:00Z","----","----","2015-01-13T21:40Z","28.33","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-01-15T03:17Z","----","75.0","---","---","Max Kp Range: 5.0 - 7.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-11-07T08:40Z(-10.0h, +10.0h)","15.10","----","2015-11-04T21:33Z","44.02","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yihua Zheng (GSFC)"," Detail"
"2015-11-07T04:00Z(-12.0h, +12.0h)","10.43","50.0","2015-11-04T21:39Z","43.92","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Yihua Zheng (GSFC)"," Detail"
"2015-11-07T02:26Z(-8.2h, +7.78h)","8.87","100.0","2015-11-05T01:30Z","40.07","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2015-11-07T15:00Z","21.43","----","2015-11-05T03:22Z","38.20","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-11-07T13:00Z(-6.0h, +6.0h)","19.43","90.0","2015-11-05T06:35Z","34.98","Max Kp Range: 6.0 - 4.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-11-07T14:30Z(-3.5h, +5.5h)","20.93","80.0","2015-11-05T09:47Z","31.78","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail"
"2015-11-07T00:00Z","6.43","----","2015-11-05T13:08Z","28.43","----","WSA-ENLIL + Cone (BoM) ","Leila Mays (GSFC)"," Detail"
"2015-11-06T22:25Z","4.85","----","2015-11-05T22:06Z","19.47","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-11-07T03:06Z","9.53","----","2015-11-05T22:09Z","19.42","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-11-07T06:34Z","13.00","80.0","---","---","Max Kp Range: 4.25 - 5.4"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-10-25T01:00Z","6.57","----","2015-10-22T11:23Z","55.05","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-10-24T12:00Z(-12.0h, +12.0h)","-6.43","20.0","2015-10-22T12:27Z","53.98","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-10-24T11:49Z(-7.0h, +7.0h)","-6.62","----","2015-10-22T18:40Z","47.77","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Anna Chulaki (CCMC)"," Detail"
"2015-10-24T21:00Z(-6.0h, +6.0h)","2.57","70.0","2015-10-23T00:30Z","41.93","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-10-24T15:59Z","-2.45","----","2015-10-23T22:30Z","19.93","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-10-24T17:09Z","-1.28","45.0","---","---","Max Kp Range: 3.33333 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-10-04T18:00Z(-7.0h, +7.0h)","----","----","2015-09-30T16:09Z","97.85","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2015-10-04T09:00Z","----","----","2015-09-30T23:28Z","81.53","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-10-04T12:00Z","----","----","2015-10-01T07:20Z","76.67","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-10-04T23:00Z(-12.0h, +12.0h)","----","10.0","2015-10-01T07:29Z","87.52","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-10-04T15:30Z","----","10.0","---","---","Max Kp Range: 3.5 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-09-22T18:00Z(-12.0h, +12.0h)","----","15.0","2015-09-20T21:53Z","44.12","Max Kp Range: 2.0 - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-09-22T19:24Z(-3.38h, +1.5h)","----","14.0","2015-09-21T02:45Z","40.65","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2015-09-22T21:00Z","----","----","2015-09-21T12:30Z","32.50","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-09-23T03:00Z(-6.0h, +6.0h)","----","20.0","2015-09-21T15:40Z","35.33","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-09-22T21:21Z","----","16.3333","---","---","Max Kp Range: 3.0 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-09-20T12:00Z","6.55","----","2015-09-18T17:10Z","36.28","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-09-20T17:14Z(-7.0h, +7.0h)","11.78","----","2015-09-18T17:44Z","35.72","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Anna Chulaki (CCMC)"," Detail"
"2015-09-20T21:00Z","15.55","----","2015-09-19T00:30Z","28.95","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2015-09-21T09:00Z","27.55","25.0","2015-09-19T06:15Z","23.20","Max Kp Range: 4.0 - 7.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-09-21T07:00Z(-12.0h, +12.0h)","25.55","15.0","2015-09-19T11:43Z","17.73","Max Kp Range: 2.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-09-20T22:50Z","17.38","20.0","---","---","Max Kp Range: 3.33333 - 5.75"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2015-09-09T12:00Z(-12.0h, +12.0h)","34.53","30.0","2015-09-05T09:14Z","64.23","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2015-09-08T20:00Z(-7.0h, +7.0h)","18.53","----","2015-09-05T23:16Z","50.20","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Alexandra Wold (SWRC)"," Detail"
"2015-09-10T02:00Z","48.53","40.0","2015-09-06T07:39Z","41.82","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-09-10T23:00Z","69.53","40.0","2015-09-07T04:20Z","21.13","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2015-09-09T20:15Z","42.78","36.6667","---","---","Max Kp Range: 2.75 - 4.75"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-11-08T16:00Z(-7.0h, +7.0h)","-13.47","----","2016-11-05T17:52Z","83.60","----","WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2016-11-08T10:00Z","-19.47","----","2016-11-06T00:30Z","76.97","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Barbara Thompson (GSFC)"," Detail"
"2016-11-08T00:00Z(-9.0h, +6.0h)","-29.47","40.0","2016-11-06T01:00Z","76.47","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-11-08T19:00Z(-12.0h, +12.0h)","-10.47","75.0","2016-11-06T11:10Z","66.30","Max Kp Range: 4.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-11-08T11:15Z","-18.22","57.5","---","---","Max Kp Range: 3.5 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-10-23T23:00Z","----","----","2016-10-21T07:24Z","63.60","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2016-10-23T23:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-05-06T10:00Z(-7.0h, +7.0h)","-5.80","----","2016-05-02T16:01Z","95.78","----","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2016-05-06T12:00Z","-3.80","10.0","2016-05-03T02:52Z","84.93","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-05-05T05:07Z","-34.68","0.0","2016-05-04T22:55Z","40.88","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-05-06T17:54Z","2.10","----","2016-05-04T22:58Z","40.83","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-05-06T05:15Z","-10.55","5.0","---","---","Max Kp Range: -- - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-04-14T00:00Z(-7.0h, +7.0h)","-6.83","----","2016-04-11T00:54Z","77.93","----","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2016-04-13T14:00Z","-16.83","----","2016-04-11T05:07Z","73.72","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2016-04-13T18:00Z(-12.0h, +6.0h)","-12.83","30.0","2016-04-11T05:45Z","73.08","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-04-14T12:00Z(-12.0h, +12.0h)","5.17","----","2016-04-11T12:30Z","66.33","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-04-13T04:51Z","-25.98","100.0","2016-04-12T20:30Z","34.33","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-04-13T12:44Z","-18.10","----","2016-04-12T20:33Z","34.28","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-04-13T18:15Z","-12.58","65.0","---","---","Max Kp Range: 4.0 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-04-09T14:00Z","----","10.0","2016-04-07T15:23Z","46.62","Max Kp Range: 4.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-04-09T18:00Z(-7.0h, +7.0h)","----","----","2016-04-08T02:57Z","39.05","----","WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2016-04-09T15:27Z","----","----","2016-04-08T21:55Z","17.53","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-04-09T20:02Z","----","0.0","2016-04-08T21:59Z","22.05","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-04-09T16:52Z","----","5.0","---","---","Max Kp Range: 4.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-03-26T04:00Z(-7.0h, +7.0h)","----","----","2016-03-23T22:52Z","53.13","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-03-26T22:00Z(-4.0h, +12.0h)","----","40.0","2016-03-24T02:10Z","67.83","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-03-25T22:50Z","----","100.0","2016-03-25T21:57Z","0.88","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-03-26T19:58Z","----","----","2016-03-25T22:00Z","21.97","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-03-26T11:12Z","----","70.0","---","---","Max Kp Range: 3.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-03-12T20:00Z","39.65","20.0","2016-03-09T17:02Z","35.32","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-03-13T04:45Z","48.40","----","2016-03-12T11:15Z","-30.90","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-03-12T13:24Z","33.05","0.0","2016-03-12T11:16Z","-30.92","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-03-12T20:43Z","40.37","10.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-02-15T03:00Z(-12.0h, +12.0h)","-2.25","70.0","2016-02-11T23:53Z","77.37","Max Kp Range: 4.0 - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-02-15T06:14Z(-7.0h, +7.0h)","0.98","----","2016-02-12T02:27Z","74.80","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2016-02-15T05:51Z(-7.0h, +7.0h)","0.60","----","2016-02-12T02:52Z","74.38","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Ethan Robinett (CUA)"," Detail"
"2016-02-15T03:00Z","-2.25","----","2016-02-12T12:20Z","64.92","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-02-15T01:00Z","-4.25","----","2016-02-12T17:19Z","59.93","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2016-02-15T10:04Z","4.82","----","2016-02-12T18:33Z","58.70","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-02-14T18:37Z","-10.63","100.0","2016-02-12T18:39Z","58.60","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-02-15T03:42Z","-1.55","83.6667","---","---","Max Kp Range: 3.2 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-02-15T05:51Z(-7.0h, +7.0h)","0.60","81.0","2016-02-17T02:22Z","-45.12","Max Kp Range: 3.0 - 5.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Ethan Robinett (CUA)"," Detail"
"2016-02-09T07:00Z(-12.0h, +12.0h)","-56.90","40.0","2016-02-06T12:17Z","123.62","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-02-08T21:00Z","-66.90","50.0","2016-02-06T16:00Z","119.90","Max Kp Range: 4.0 - 7.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-02-09T18:00Z(-7.0h, +7.0h)","-45.90","----","2016-02-06T16:19Z","119.58","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-02-08T23:03Z","-64.85","4.0","2016-02-07T03:11Z","108.72","----","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-02-08T21:11Z","-66.72","0.0","2016-02-07T23:30Z","88.40","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-02-09T03:38Z","-60.27","23.5","---","---","Max Kp Range: 3.5 - 6.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-01-18T12:38Z(-7.0h, +7.0h)","-8.37","----","2016-01-15T17:09Z","75.85","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2016-01-18T07:54Z(-5.5h, +4.3h)","-13.10","71.0","2016-01-15T21:37Z","71.38","Max Kp Range: 3.0 - 5.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-01-19T09:00Z(-12.0h, +12.0h)","12.00","35.0","2016-01-16T12:44Z","56.27","Max Kp Range: 3.0 - 4.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-01-19T12:00Z(-12.0h, +12.0h)","15.00","30.0","2016-01-16T18:35Z","50.42","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-01-18T00:40Z","-20.33","0.0","2016-01-17T20:09Z","24.85","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-01-18T18:02Z","-2.97","34.0","---","---","Max Kp Range: 3.0 - 4.75"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-01-10T23:30Z(-12.0h, +12.0h)","----","20.0","2016-01-07T09:25Z","86.08","Max Kp Range: 2.0 - 4.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-01-10T10:37Z","----","10.0","---","---","Max Kp Range: 2.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-01-09T21:44Z","----","0.0","2016-01-09T19:59Z","1.75","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-01-03T12:00Z(-6.0h, +6.0h)","----","40.0","2015-01-02T18:35Z","17.42","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-01-03T15:00Z(-12.0h, +12.0h)","----","40.0","2016-01-02T11:00Z","28.00","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-01-04T12:46Z","----","0.0","2016-01-04T11:03Z","1.72","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2015-09-04T05:15Z","----","26.6667","---","---","Max Kp Range: 3.5 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-10-13T16:00Z","18.65","----","2016-10-09T17:06Z","76.25","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2016-10-13T00:00Z(-6.0h, +6.0h)","2.65","40.0","2016-10-10T11:00Z","58.35","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-10-13T22:00Z(-12.0h, +12.0h)","24.65","40.0","2016-10-10T13:53Z","55.47","Max Kp Range: 4.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-10-14T00:00Z(-7.0h, +7.0h)","26.65","----","2016-10-10T14:39Z","54.70","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-10-14T11:44Z","38.38","----","2016-10-12T03:43Z","17.63","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-10-12T04:39Z","-16.70","0.0","2016-10-12T03:45Z","17.60","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-10-13T13:03Z","15.70","26.6667","---","---","Max Kp Range: 3.5 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-08-02T12:00Z(-12.0h, +12.0h)","0.62","33.0","2016-07-29T13:55Z","93.47","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-08-01T12:00Z(-7.0h, +7.0h)","-23.38","----","2016-07-29T16:53Z","90.50","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2016-08-02T00:00Z(-12.0h, +12.0h)","-11.38","60.0","2016-07-30T05:45Z","77.63","Max Kp Range: 4.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-08-02T00:00Z","-11.38","46.5","---","---","Max Kp Range: 3.66667 - 5.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-07-25T21:00Z(-12.0h, +12.0h)","----","15.0","2016-07-24T06:58Z","38.03","Max Kp Range: 2.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-07-25T21:00Z","----","15.0","---","---","Max Kp Range: 2.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-07-23T06:00Z(-12.0h, +12.0h)","----","20.0","2016-07-22T07:20Z","22.67","Max Kp Range: 3.0 - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-07-23T06:00Z","----","20.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-07-23T12:00Z","----","----","2016-07-21T14:00Z","46.00","Dst min. in nT: -57 Dst min. time: 2016-07-24T01:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2016-07-23T12:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-07-20T22:00Z(-6.0h, +6.0h)","22.92","50.0","2016-07-17T17:00Z","54.08","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2016-07-20T21:00Z","21.92","----","2016-07-17T17:22Z","53.72","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2016-07-22T00:00Z(-12.0h, +12.0h)","48.92","50.0","2016-07-18T12:25Z","34.67","Max Kp Range: 3.0 - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-07-21T00:04Z(-7.0h, +7.0h)","24.98","----","2016-07-18T16:14Z","30.85","Max Kp Range: 3.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2016-07-20T23:32Z(-9.77h, +11.12h)","24.45","91.0","2016-07-18T21:13Z","25.87","Max Kp Range: 2.0 - 4.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2016-07-20T04:39Z","5.57","100.0","2016-07-19T06:44Z","16.35","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-07-21T06:42Z","31.62","----","2016-07-19T06:49Z","16.27","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-07-21T00:51Z","25.77","72.75","---","---","Max Kp Range: 2.75 - 5.25"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-07-16T04:00Z","----","----","2016-07-15T02:00Z","26.00","Dst min. in nT: -95 Dst min. time: 2016-07-16T13:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2016-07-16T04:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2016-05-18T00:30Z(-5.0h, +5.0h)","----","80.0","2016-05-17T07:00Z","17.50","----","DBM + ESWF ","Manuela Temmer (UNIGRAZ)"," Detail"
"2016-05-18T11:30Z(-12.0h, +12.0h)","----","30.0","2016-05-17T10:16Z","25.23","Max Kp Range: 4.0 - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2016-05-18T08:07Z","----","100.0","2016-05-18T07:58Z","0.15","----","SPM2 ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-05-19T02:22Z","----","----","2016-05-18T08:03Z","18.32","----","SPM ","Xinhua Zhao (NSSC CAS)"," Detail"
"2016-05-18T11:37Z","----","70.0","---","---","Max Kp Range: 4.0 - 7.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2017-09-13T04:00Z(-7.0h, +7.0h)","8.57","----","2017-09-10T20:04Z","47.37","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
